id,stock,Nasdaq Traded,security_name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares
437,BLK,Y,"BlackRock, Inc. Common Stock",N, ,N,100.0,N,,BLK,BLK,N
438,BLKB,Y,"Blackbaud, Inc. - Common Stock",Q,Q,N,100.0,N,N,,BLKB,N
439,BLL,Y,Ball Corporation Common Stock,N, ,N,100.0,N,,BLL,BLL,N
440,BLRX,Y,BioLineRx Ltd. - American Depositary Shares,Q,S,N,100.0,N,N,,BLRX,N
441,BLUE,Y,"bluebird bio, Inc. - Common Stock",Q,Q,N,100.0,N,N,,BLUE,N
442,BLV,Y,Vanguard Long-Term Bond ETF,P, ,Y,100.0,N,,BLV,BLV,N
443,BLW,Y,Blackrock Limited Duration Income Trust,N, ,N,100.0,N,,BLW,BLW,N
444,BLX,Y,"Banco Latinoamericano de Comercio Exterior, S.A.",N, ,N,100.0,N,,BLX,BLX,N
445,BMA,Y,Banco Macro S.A.  ADR (representing Ten Class B Common Shares),N, ,N,100.0,N,,BMA,BMA,N
446,BME,Y,Blackrock Health Sciences Trust,N, ,N,100.0,N,,BME,BME,N
447,BMI,Y,"Badger Meter, Inc. Common Stock",N, ,N,100.0,N,,BMI,BMI,N
448,BMO,Y,Bank Of Montreal Common Stock,N, ,N,100.0,N,,BMO,BMO,N
449,BMRC,Y,Bank of Marin Bancorp - Common Stock,Q,S,N,100.0,N,N,,BMRC,N
450,BMRN,Y,BioMarin Pharmaceutical Inc. - Common Stock,Q,Q,N,100.0,N,N,,BMRN,N
451,BMTC,Y,Bryn Mawr Bank Corporation - Common Stock,Q,Q,N,100.0,N,N,,BMTC,N
452,BMY,Y,Bristol-Myers Squibb Company Common Stock,N, ,N,100.0,N,,BMY,BMY,N
453,BND,Y,Vanguard Total Bond Market ETF,Q,G,Y,100.0,N,N,,BND,N
454,BNDX,Y,Vanguard Total International Bond ETF,Q,G,Y,100.0,N,N,,BNDX,N
455,BNFT,Y,"Benefitfocus, Inc. - Common Stock",Q,G,N,100.0,N,N,,BNFT,N
456,BNO,Y,"United States Brent Oil Fund, LP ETV",P, ,Y,100.0,N,,BNO,BNO,N
457,BNS,Y,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,N, ,N,100.0,N,,BNS,BNS,N
458,BNSO,Y,"Bonso Electronics International, Inc. - Common Stock",Q,S,N,100.0,N,N,,BNSO,N
459,BNY,Y,BlackRock New York Municipal Income Trust,N, ,N,100.0,N,,BNY,BNY,N
460,BOCH,Y,Bank of Commerce Holdings (CA) - Common Stock,Q,G,N,100.0,N,N,,BOCH,N
461,BOH,Y,Bank of Hawaii Corporation Common Stock,N, ,N,100.0,N,,BOH,BOH,N
462,BOIL,Y,ProShares Ultra Bloomberg Natural Gas,P, ,Y,100.0,N,,BOIL,BOIL,N
463,BOKF,Y,BOK Financial Corporation - Common Stock,Q,Q,N,100.0,N,N,,BOKF,N
464,BOOT,Y,"Boot Barn Holdings, Inc. Common Stock",N, ,N,100.0,N,,BOOT,BOOT,N
465,BOSC,Y,B.O.S. Better Online Solutions - Ordinary Shares,Q,S,N,100.0,N,N,,BOSC,N
466,BOTJ,Y,"Bank of the James Financial Group, Inc. - Common Stock",Q,S,N,100.0,N,N,,BOTJ,N
467,BP,Y,BP p.l.c. Common Stock,N, ,N,100.0,N,,BP,BP,N
468,BPFH,Y,"Boston Private Financial Holdings, Inc. - Common Stock",Q,Q,N,100.0,N,N,,BPFH,N
469,BPOP,Y,"Popular, Inc. - Common Stock",Q,Q,N,100.0,N,N,,BPOP,N
470,BPOPM,Y,"Popular, Inc. - Popular Capital Trust II - 6.125% Cumulative Monthly Income Trust Preferred Securities",Q,Q,N,100.0,N,N,,BPOPM,N
471,BPOPN,Y,"Popular, Inc. - Popular Capital Trust I -6.70% Cumulative Monthly Income Trust Preferred Securities",Q,Q,N,100.0,N,N,,BPOPN,N
472,BPT,Y,BP Prudhoe Bay Royalty Trust Common Stock,N, ,N,100.0,N,,BPT,BPT,N
473,BPTH,Y,"Bio-Path Holdings, Inc. - Common Stock",Q,S,N,100.0,N,N,,BPTH,N
474,BQH,Y,Blackrock New York Municipal Bond Trust Common Shares of Beneficial Interest,N, ,N,100.0,N,,BQH,BQH,N
475,BR,Y,"Broadridge Financial Solutions, Inc.Common Stock",N, ,N,100.0,N,,BR,BR,N
476,BRC,Y,Brady Corporation Common Stock,N, ,N,100.0,N,,BRC,BRC,N
477,BREW,Y,"Craft Brew Alliance, Inc. - Common Stock",Q,Q,N,100.0,N,N,,BREW,N
478,BRF,Y,VanEck Vectors Brazil Small-Cap ETF,P, ,Y,100.0,N,,BRF,BRF,N
479,BRFS,Y,BRF S.A.,N, ,N,100.0,N,,BRFS,BRFS,N
480,BRG,Y,"Bluerock Residential Growth REIT, Inc. Class A Common Stock",A, ,N,100.0,N,,BRG,BRG,N
481,BRID,Y,Bridgford Foods Corporation - Common Stock,Q,G,N,100.0,N,N,,BRID,N
